,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
1718,SHANENDOAH CONDOMINIUMS,REDMOND,WASHINGTON,98052,US,"DO NOT RENT FROM THIS FAMILY OR AT THIS COMPLEX. Landlord's name was Grace Chen. Used their son as an in-between. Every appliance in the house broke: 1) fridge came with busted drawers; 2) washing machine broke and the landlord ignored our multiple requests to fix for over a month, hired a cheap repair person who spilled oil all over our carpet & we had to try cleaning that out; 3) dryer broke, same situation, but landlord had to replace it and dragged their feet trying to find a model even though we found one for them; 4) microwave and oven sparked when we used them; 5) dishwasher clogged up and we had to clean it ourselves; 6) master bathroom sink broke and we had to use the closet BR downstairs for the remainder of our stay, because it was the last straw and we were too tired to try arguging to get it fixed. During our initial tour, landlord said the smoke detector being hidden away but still installed up by the bedroom was ""technically legal"", should have been our warning sign. Landlord always came into our home with a gun and would give us less than 12 hrs notice for when they or other people were arriving. Forced us to pay 100$ for every repair fee even though that is strictly illegal in WA. Took half our deposit for things explicitly defined as ""normal wear and tear"" when we moved out. Made excuses every time we had to contact them but their son living in the same complex was getting his entite kitchen redone. Would talk down to female renter or flat out ignore. Please look elsewhere for a home.",1,1,3,2,1
1719,GENE,SAN FRANCISCO,CALIFORNIA,94112,US,"Gene (and his Dad, who was also named Gene!) were both amazing. I haven't lived in the apartment since 2018, but it was well maintained, and Gene was incredibly up front and honest about everything. Went to the viewing in February of 2017 and I remember being absolutely shocked because it was pouring rain outside but inside it was absolutely bone dry. He was super helpful with all the issues we had, though there weren't very many. We did have ants and mice at different times, but they were dealt with quickly and efficiently. I only moved out of the apartment because I moved across the country to take care of a sick family member.",5,5,5,5,5
1720,MARCUS MARES,GUELPH,ONTARIO,N1E 3B9,CA,"Marcus and Erin are nice but neglectful. 

For example they left us without a working lock on our front door for over a month. Despite several texts to fix the toilet it took them 3 months to even come see. 
On the month a single person occupied the residence they claimed 200$ over budget for utilities. Over all they are respectful but get ready to deal with things on your own.",2,3,2,5,5
1721,UTOPIA MANAGEMENT,SACRAMENTO,ARIZONA,95822,US,I’d never rent from this company again. Each month we dealt with issues of them automatically taking rent out of the wrong account. They kept saying oh it’s your fault even though only one account was linked. Then tried charging us late fees.,3,3,1,3,1
1722,"ANDRE KINGSLEY, PROPERTY MANAGER",MONTREAL,QUEBEC,H2G 2W3,CA,"Extremely invasive, disrespectful old dude. Refused to give 24hrs notice before showing up at our house. Would use the upstairs neighbour to spy on what we did in our back yard. Would come to harass us any time she made up lies (also an extremely xenophobic old lady), broke into our backyard at 7 in the morning, alone, to physically smash the snow fort we had built the night before but unfortunately didn't have a heart attack in the process. Would show up without warning, wouldn't mask during the pandemic, would get spittle in your face, & brought unmasked contractors into our house during the pandemic.  Spoke condescendingly. Repeatedly told me ""bin, tu l'auras pas!"" any time I asked for respect or 24hrs notice before visiting our home. Do not rent for any landlord that uses him as a property manager.",1,3,1,1,1
1723,KIRK CHENEY,TORONTO,ONTARIO,M5S 2K3,CA,"When I lived here we had an insane mice problem that the LL did nothing about. We begged him to hire an exterminator and all he did was buy dollar store mouse traps. When we complained, he threatened to raise our rent. When told he couldn't just do that unilaterally, he went on an extended rant and called us ungrateful. Terrible, terrible LL",3,1,1,4,3
1724,RICK BOVE,ESSEX,VERMONT,05452,US,"Rick Bove makes promises to improve then never does. We have potholes large enough to fit a baby and cracked sidewalks someone will someday break an ankle over. His managers do the best they can, but it’s not a lot.",3,1,3,3,4
1725,ONE PROPERTY MANAGEMENT,LOS ANGELES,CALIFORNIA,90007,US,"Living at University Gateway by USC was a nightmare. The smoke alarms go off when there’s steam from cooking, and often for other random reasons, and the alarms in every unit blast off simultaneously for up to an hour after. The robot voice asking people to evacuate is always wrong, so within a few months residents are desensitized and stop leaving their rooms. 

When the air intake vent in my room started dripping water on the floor, management came and only changed the air filter, and didn’t respond to work orders once it started dripping steady streams of water every time the air conditioning came on. Speaking with other people who live here, it’s a common problem that Gateway can’t solve for some reason. 

And if you live in a inward/courtyard-facing unit in the courtyard with the projection screen, God help you. Every time someone sets up for a movie screening or plays their music in the system, if you’re close to any of the speakers, you can hear every word of dialogue clearly and your walls and doors will vibrate. Good luck with sleeping, studying, having a conversation, streaming, listening to music with noise-canceling headphones, or hearing your own thoughts, because it’s basically impossible.",3,1,1,1,3
1726,ROBERT BYRON,EWING,NEW JERSEY,08638,US,"His rents feel cheap, but he is still charging more than he should for the hovels he rents out. Everything feels vaguely illegal or off-the-books...I can't make a clear or definite accusation of any kind, but you just get the vibe that he gets by on handshakes and smiles rather than by thoroughly adhering to all codes and regulations. He does almost all the work himself, with the result that nothing EVER gets done well. He's loud and rude; while he's working you WILL hear icky stories about other tenants (so he will likely tell similar about you behind your back). You feel like you just have to nod and smile as he complains about having to pull someone's ""s*xy underwear"" out of the dryer vent: should tenants not be able to actually use the dryer? You're a ""privacy freak"" if you don't want him to come in at a given time. You can't run more than one large electrical appliance at a time, or a fuse blows: you're lucky if it's one in your room, because his DIY electrical work (!!) means that you could just as easily shut off another tenant's electricity. Water comes in when it rains or when he forgets to turn off the lawn sprinkler; he handles this by telling you to run a loud, old dehumidifier all the time. I could go on and on. Don't rent from this slumlord. I only did because I needed the cheapest possible rent in order to save up a down payment and never rent again.",1,1,3,1,1
1727,THOMAS HEITZ AND CRYSTAL SEQUEIRA,TORONTO,ONTARIO,M4M 1G2,CA,Gaslights tenants if things do not go their way and makes rules out of thin air. Has entered my unit twice without informing in 24 hours or more. Only thing they do right is hire a contractor in a reasonable manner for repairs.,5,1,2,1,1
1728,CLORINDA DI SESSEU,MONTREAL,QUEBEC,H2T2V5,CA,"DO NOT RENT FROM CLORINDA DI SESSEU OR HER FAMILY (Esposito). 
No privacy as she lives across the street and so her family is constantly in and out of the building and you will NEVER be notified of work being done in the building. EVER. 
If you live in her dwelling, you will receive constant harassment and unjustified refusal of lease transfers. If you see this as your potential landlord run the other way!! Extremely difficult to communicate with and the family is genuinely borderline psychotic.
Worst landlord experience I have EVER had in 10 years of renting. Absolutely disgusting the way this family treats people.",2,2,1,1,1
1729,CLG,GUELPH,ONTARIO,N1H7X7,CA,There is trash everywhere,1,1,1,1,1
1730,GOLDSEAL MANAGEMENT,TORONTO,ONTARIO,M3M2Y2,CA,"No friendly management, not friendly staff. No well keep it building. Expensive and old units.
You must paid the first, if you pay the second you have to pay a fine. After 2 times paying late, you get a eviction note. But if you need any reparation, you must to wait minimum 2 weeks.  Horrible.",1,1,1,1,1
1731,HINES,CALGARY,ALBERTA,T2R0X5,CA,"Location: Park Central in Calgary, Alberta.

Management at Park Central is completely unprofessional. If management makes a mistake, don’t expect them to take ownership and correct the issue. Expect communication to be disrespectful and very slow.",1,5,3,5,1
1732,PROPERTY LINK,GUELPH,ONTARIO,N1H9X9,CA,They are slightly disorganized. It only makes problems for them though. Like 4 times they came by with no key to our unit. Lol,5,5,5,5,5
1733,REEDER ASSET MANAGEMENT,OGDEN,UTAH,84401,US,"Reeder Asset Management operates all over the state of Utah. I spent 7 months in an very old house that was managed by them. The monthly rent was around $900, but the deposit was $1300. I didn’t know this at the time, but landlords who charge that high of a deposit are usually not planning on giving it back to you. Spoiler alert :). Upon move in, I took pictures of the entire house, the carpets were stained, paint damage was everywhere you looked, and the bathroom was in need of some serious cleaning. I cleaned it myself, but made sure to note the condition of everything in photographs and on the move in form supplied to me. Repairs took weeks to go through, exposed wiring and other fire risks went ignored. Reeder’s lack of action around installing locks in common areas culminated in squatters living in the basement below us, and a confrontation between them and my boyfriend. Of course, upon move out, they took my entire $1300 deposit and demanded and extra $300. I showed them photographs and the move in form, endured 6+ months of silence on their part, I even got a family friend lawyer involved. All that amounted to them conceding $172. They still have my money. Avoid reeder asset management at all costs.",2,1,3,4,1
1734,BARRY HEWITT,PERKASIE,PENNSYLVANIA,18944,US,"Barry was a decent landlord,  but inept at repairs, even though his trade was handy man.  We had multiple instances of mice coming in through cracks in the building,  fleas from said mice,  and found 2 large holes in the walls in kitchen where they were getting in.  Despite repeated attempts to get things fixed properly,  things were done half-@$$Ed.   He seemed overwhelmed at the upkeep.  A nice guy, but not a skillful one.  Also, a LOT of fire hazards and safety hazards at all of his buildings.   Not up to code.",2,2,3,3,4
1735,RADIUS REALTY,ST LOUIS,MISSOURI,63116,US,"When I moved in there were some cosmetic issues: the previous tenant had (poorly) installed stick on tiles, the windows were old as dirt, the back door stuck. Fine, the place was old and for the price I could deal with a lack of updates. Maintenance was quick to fix the heat when it went out in the middle of January. But one the pandemic hit everything fell apart. As soon as it got warmer out the roaches came out, and when I reported it to management they basically told me ""tough luck"" and wouldn't budge on the issue. The whole place was full of mold and was barely up to code. My roommate and I were also the LAST remaining tenants in the building by the end of our lease because management was tearing out the whole place for updates. Which they never mentioned to us until a contractor LITERALLY BROKE DOWN MY DOOR to access my apartment. When I reported it to the person in charge they told me no one had broken in despite me being in the house when it happened and holding the broken lock in my hands. Management had apparently failed to mention that anyone was living in our unit, and didn't even offer an apology. We moved out soon after.",1,1,1,1,1
1736,MARKET SOUTH MANAGEMENT,SAVANNAH,GEORGIA,31401,US,"Many things wrong with this company, they don't take care of their properties. When we moved in they had no cleaners come in from after the previous tenant, leaving us a lot of work. holes in the walls. Some of the neighbors were leaving trash outside, hitting trashcans with their cars, so filthy that they were fined by the city. instead of installing security cameras, they charged every unit 50$, and would continuously do this instead of working on a solution. just another way to make more money. towards the end of our lease, they just gave two people a key to walk in and see our apartment, luckily we were home and they were also freaked out about it, as they expected to see an empty unit. They charge you and hold you responsible for changing the air filter.",1,1,3,1,1
1737,LUCIANO TOICH,GUELPH,ONTARIO,N1H 2B5,CA,"Just didn’t care. We were below the class level of his usual tenants, so we were nothing.",1,1,4,1,1
1738,VARSITY CAMPUS,CHICAGO,ILLINOIS,60607,US,"The place has mold, and they would not accept outside mold inspections. Tried to get out of the lease, but they wouldn't be reasonable.",1,1,3,2,3
1739,FRENCH QUARTERS,NORTH KANSAS CITY,MISSOURI,64116,US,"It took them a full month to send someone to look at our broken dishwasher. As it turns out, the whole complex only has two repair guys, and only one of them speaks English. For most of the 14 months I lived there, there was a massive hole in the laundry room wall. Not that Anyone used the in-building communal laundry, since it was coin-operated and had several fire-hazards worth of dust coming out of the loose duct. None of the windows or doors shut fully. The windows were single-panes of glass loosely balanced in a roughly window-shaped holes in the walls through which all manner of pest would come and go freely. We were being eaten alive by mosquitoes until the spiders thoroughly webbed up every entrance. There is no insulation from heat or sound. At no point did it ever feel like being truly indoors.",1,1,1,1,1
1740,OAK TREE CAPITAL,SOMERVILLE,NEW JERSEY,08876,US,"This is a large apartment building with absentee landlords: a bunch of guys who live in NYC (Williamsburg would be my guess) and don't care about the property at all. They raised our rent 15% this year without improving anything about the property or our experience. I don't know what it's like to work for them, but I do know they can't keep a property manager--we've lived here a year and a half and have had 3 property managers, none of whom stayed for more than a month, which means that for the majority of our time here, there's been no one on-site to handle concerns like the ceiling panels that repeatedly fall down in the hallways, the broken lightbulbs and missing ceiling panel in the elevator, or the broken treadmill in the gym. Repairs inside the apartment eventually do get taken care of, but that's only because the maintenance man is really hardworking, despite the fact that the landlords task him with duties outside his job description, such as showings (since there's never an actual property manager). These landlords also own the commercial building next door and seem to handle it even more poorly; one by one, all the businesses there have left, leaving the blight of four empty storefronts on the face of the town. This is so sad, because there used to be a comic-and-game shop, a pastry shop, a driving school and a nail salon next door--all useful, interesting businesses. But the crazily high rents of Oak Tree Capital damaged our town by driving them away.
The Warehouse has a clean, luxurious feel, but it's all surface-level. Once you settle in, it all starts to feel fake and cheap. That would be fine, but the way they raised our rent just lit a fire under us to make these guys our last landlords ever.",2,4,1,5,4
1741,RON EWING,PERKASIE,PENNSYLVANIA,18944,US,"Mr Ewing seemed like a kindly old man at first,  but turned into a nit-picky, in-your-business guy who looked down on his tenants.   Decided the beginning of January was a good time to have his mediocre handyman (nephew) replace our windows, even though I was sick with pneumonia at the time; wouldn't even push it back a week.  Never sent us the water bill, in the lease it was covered by rent,  but when we tried to get our deposit back,  he deducted it, and said we'd have to go to court to fight him for it.  Being as poor as we were,  we just took the leftover and moved on.  He insisted on showing our apartment while we were packing,  having his realtor just show up with people.   He made an ableist statement about my disability even I requested an accessible parking space from the borough, bc our parking lot was not.",3,3,3,2,1
1742,HARCOURTS WEST END,WEST END,QUEENSLAND,4101,AU,"Not the worst I've been with, but rarely addressed my problems. There was a cockroach infestation and they gave me bug bombs instead of fumigating. The owner would just turn up whenever he wanted to (illegal, they're supposed to give two weeks notice) to mow the lawn and be annoying. Drug addicts and drug dealers conducting deals in the hallways. Paper thin walls. One of the other residents threatened me and the real estate told me to call the police (as if I want the fucking police all up in my shit?). Was away at the time, but other neighbours told me the drug dealer went on a weekend-long trip in which he trashed the apartment and physically abused his teenage girlfriend. Still wasn't kicked out, but when I wanted to leave I was told I would have to pay for all this shit like a $300 advertisement fee and a break lease fee. Place was absolutely disgusting. The next door to me moved out and I asked if I could move in - place was $10/wk more expensive, but twice as big and had a toilet inside - they told me I needed to pay the bond up front. Fucking idiots.",1,1,1,1,2
1743,WESTBURY RENTAL RESIDENCES,TORONTO,ONTARIO,M5R 2K1,CA,"This landlord is sub par, and I should know. I’ve lived here for decades because of the “location, location, location.”",1,1,1,1,1
1744,WATERTON PROPERTY MANAGEMENT,ROSWELL,GEORGIA,30075,US,"In general, you won't need to interact with the management company often. Occasionally I've had to ask for maintenance and, on rare occasions, have had to bug them to get things fixed. However, most days are ok. Wheneyou need to interact with them more frequently, like notifying them of your intent to leave, is a whole other story. They have very poor communication skills and you may wind up with fines because they didn't communicate something to you well. 

Also, project management is not their forte. Starting in August of 2022, we had our mailboxes out of commission for 6 weeks (was supposed to be 1) and they barely spoke to us about what was going on.

Rent is way too high for the size and quality of the apartments here.",3,3,2,3,2
1745,RICHDALE APARTMENTS,LINCOLN,NEBRASKA,68506,US,They are alright lots of vehicle break-ins happen in the complex and actually nothing has been done to put a stop to it. Overall the living experience is ok especially for the price but could be much better.,3,1,2,2,4
1746,AKELIUS,MONTREAL,QUEBEC,H3S1R4,CA,"I have had people show up to my apartment with no warning on 3 occasions. I have been trying to get repairs done for 6+ months and they have done absolutely nothing. I have called them about having ants and cockroaches and they have also done nothing. When I called them to let them know that I wasn’t interested in renewing my lease, they tried to use the housing market to guilt trip me into staying.",1,1,5,4,2
1747,VENTERRA REALTY,HOUSTON,TEXAS,77002,US,"Property is aware that elevator needed to be replaced years ago but won’t. Consequently elevator is down for months at a time because parts to repair are obsolete. Disabled and elderly residents become trapped in their homes or unable to return to their homes. Property does not care. Property allowed gates to stay broken for months, allowing anyone access to property. My neighbors were stalked by a homeless man who slept outside their door, and were given a notice of non-renewal because they complained. I myself have had traumatic experiences as a result of the lack of safety and was told the building would have no response. Apartments will be left with significant damage such as holes in exterior walls, large leaks, and other critical issues for months because the company either can not or will not find repairmen who can make the repairs in a timely manner. Instead of spending money on these safety issues they installed wifi routers in every unit so they could have their own wifi network and charge residents. We did not have a choice in accepting the installation and routers use the electricity we source and pay for ourselves, which has driven all of our bills up. There is no discount or consideration for this despite residents coming together and demanding a response. All complaints and requests for resolution are “passed up to leadership” and then ignored. It is transparent that they have no interest in retaining residents and would rather everyone leave at the end of their lease so they can raise rents far beyond reason, and new tenants who are unaware of how dangerous this community is will pay because it appears to be nice at first glance. This company has no care for resident safety and should be avoided at all costs.",1,1,3,5,3
1748,NAZCAM PROPERTIES,BANGOR,MAINE,04401,US,"This company is managed by Cypress Management LLC and I belive the owner's name is Nazron Dixon or something similar. They raised the rent by 100 dollars after acquiring the property from Skyvilla. They also never gave me back my rental deposit despite multiple correspondence and saying ""we'll get back to you later"" with no further response. They charge 725 for a studio that is in great disrepair.",1,1,1,1,1
1749,ASHLEY PADGETT,ACWORTH,GEORGIA,30102,US,"If you have emergency issues she’s usually understanding and they are fixed in a timely manner. She rarely if ever raises rent, but when she does she explains why, and these are usually reasonable raises. However, with such a personal & often extreme focus on saving money, some things are left to be desired. I have had some issues with pests and air contaminents, and some safety issues around the house that were never addressed. Otherwise, very nice people.",3,2,5,5,4
1750,AUTUMN RIDGE APARTMENTS,EAU CLAIRE,WISCONSIN,54701,US,"Landlord is respectful, friendly and not overly in his tenants business like I’ve had other landlords be sometimes. Maintenance is reliable and quick, and the buildings are taken care of well. The amenities are nice, there are hookups for washer and dryers in the units but also, change-run washers and dryers on each floor. Trash chutes, pool, hot tub (amazing), and mailroom are great. Landlord is pretty quick at responding to questions and we’ve never had an issue with paperwork or renewing a lease. We haven’t moved out yet so I don’t know how that process is.",5,5,5,5,5
1751,BAY MANAGEMENT GROUP LAUREL,CHEVERLY,MARYLAND,20785,US,"We rented an unfurnished house and we're given the option to rent some furniture so we rented some tables and chairs. The rest of the furniture that was in the house was then moved to a room in the basement with out our permission and a lock was to be put on the door. We were still paying for that square footage and when we brought up the violation of the lease they said we could deal with it or we could move out. There was absolutely no moving on rent even though they were using our space as free storage. We decided that they should at least put the furniture in the smaller room, they did that and the furniture piled up against the light switch causing it to stay on for an entire year. When we moved in the house was filthy, not cleaned, there was food that was left out, at some point I'm guessing the movers they hired to put everything in the basement broke a desk and decided to leave it where it was so my roommate had a broken desk in his room that we couldn't move out for a while because it was full of paperwork. Any and all attempts to reach bmg about repairs even in emergencies were ignored and at 2 points we were passed onto different property managers. They wouldn't answer our calls or return emails or vm, and in order to get anything fixed we had to call the property owner who was living in India at the time and get him to call for repairs. Overall it was a horrifying experience, BMG is unprofessional, uncaring, and repeatedly violated our lease and renters rights.",1,2,4,4,2
1752,ERIN PITTS,AUSTIN,TEXAS,78757,US,"Erin was a great landlord and honestly I'm sad to give up the place but such is life. She responded promptly to communications including repair requests, employed regular yard maintenance which she paid for, as well as a Pre-Fix team and pest control to regularly visit to help maintain the home. She always alerted us when she would be on the property and never entered unnecessarily or without our permission. Rent was kept the same for 5 years, only raising once by $100 a month in our 6th year but was still well below the local market rate (which is still admittedly over inflated). I only docked a point from Health and Safety because it was an old property with a lot of ongoing damage and bug issues (foundation problems, doors wouldn't completely seal which let in bugs constantly etc) that were not easy fixes that could be made but were significant enough to note, though Erin says they are committed now to repairing the property before relisting it to rent which I trust will be done. Overall, Erin was pleasant to deal with and as fair as one could expect a landlord to be while still being a landlord.",5,4,5,5,5
1753,BLUE DAWN PROPERTIES,BUFFALO,NEW YORK,14214,US,Multiple ongoing issues with response time to situations such as: fire alarms going off for hours (into the night) with no ability to reset them- even the fire department couldn't get ahold of Jen for as long as 6 hours. Loud demolition construction with NO written warning and construction workers smoked cigarettes in the building and blasted music. Rent was raised and she tried to collect on it before legally allowed to. ,2,4,2,5,3
1754,KW PROPERTY MANAGEMENT,KITCHENER,ONTARIO,N2E 1L3,CA,"I rented with this company for 2 years. The rent was below market, but in my experience, they do not care at all about their tenants. 

At the time I moved in, I had concerns about the cleanliness, the representative told me if I don't want it, they will rent it to someone else. 

The humidity was at 98% when I moved in. This resulted in mold. I was forced to purchase a dehumidifier to keep the space livable. 

I had several concerns throughout my tenancy, the only ones that were addressed were the broken water heater and the mice infestation. 

If you're looking for cheap rent and are okay with being treated poorly and doing everything yourself then you may be OK with this company. Otherwise I would not reccomend.",1,1,4,4,1
1755,COX INVESTMENTS,ST. CATHARINES,ONTARIO,L2R 5Y8,CA,"Moved in March 2022.   Utterly neglectful in responding to issues and fixing disrepair in a timely manner.  Dishwasher was broken when I moved in; new one delivered and it took 2.5 MONTHS to install as it sat in a box in my living room.   The central air that is IN my lease broke June 2022 and has YET to be fixed; most attempts to discuss the status of repair have been continuously and blatantly ignored.   The countless bags of opened garbage, bikes, debris, drug use paraphernalia etc from another unit piled up outside our doors bringing with it rats etc  - with PROMISES that it would be cleaned up  - took over FIVE MONTHS before it was actually done.    A motion light was installed incorrectly; after repeated texts (mostly ignored outright) and TWO MONTHS later there is STILL no update as to when it will be replaced.  Too many other incidents to list.  Very, incredibly poorly managed.  Unbelievably disappointed living there.   Still unsure if the blame lies solely on the property management teams' absolute negligence or if it's the current owner of the building.  Either way, it's disgracefully run.",1,2,3,3,3
1756,HARCOURTS,SUCCESS,WESTERN AUSTRALIA,6163,AU,"several weird comments on things like ""the vibe being better / worse"". comments on stuff that we had that had nothing to do with the rental. the most ridiculously high standards for cleanliness that literally could not be met. tried to keep the bond and demand extra money on top of it for stuff that was fair wear and tear. didn't fix our fence for months, didn't fix lights for months, didn't fix leaky shower for months.",1,1,3,4,2
1757,DEANNA DAILEY,OLYMPIA,WASHINGTON,98502,US,"the landlord and her family entered our home many times over the course of our lease without any notification and would frequently walk through the yard to look into the windows. the house was in a completely unlivable state when we signed the lease, mold growing on all of the walls and a hefty rodent infestation along with an unusable central heating system. at no point were we told how many people had keys to the property despite asking directly for that information many times. landlord did remove the mold from the kitchen 2 months into our lease but no other part of the house and did minimal work to control the rodents, which came back again in winter and entered the home through unsealed pipe ports in the walls. it took about 6 months to get the central heating inspected and an additional 4 months to have it cleaned and repaired, the repairman stated he had never seen a central heating system that moldy in his life. the dishwasher broke and it took a very long time for them to get an actual repair person out, she just had her husband try and fix it a bunch of times even thought it wasn't working. we frequently asked for a new lawn mower but the one they replaced it with was also broken and about as unusable as the previous one. on move out she would not allow us to come into the house with her on the final walkthrough even though i told her i wasnt comfortable with that, but came out and told us everything looked great, then sent us a homemade spreadsheet 2 months later with $6,000 in damages she wanted me to cover that were all things wrong with the house when we moved in that had nothing to do with us. we did not get our deposit back even though she told us we would on the walkthrough and that the house was in much better condition than when we moved in. it was difficult to communicate with her and she often took on an accusatory and hostile tone.",2,1,4,1,2
1758,SHELDON RAKOWSKY,TORONTO,ONTARIO,M4Y 1T5,CA,"Harrassed the security of the building everyday to ask for information about me instead of getting in contact with me through my emails which he had to contact me along with my number. Should have known rights would be violated from the beginning when Sheldon Rakowsky asked for 6 months rent up front on a Draft of a total of 11,900.00 and the next 6 months on post dated cheques. After the first year, rent was covered on post dated cheques and he didn't give me a new rental agreement for the next years and it got in the way of government documentation by making it difficult to get IDs renewed with the address and student information verified. Sheldon Rakowsky has also evicted me without warning or notice and there was nothing I could do about it, they only gave me 3 days to get my belongings and I was to get in touch with an agent to get access to my stuff within those 3 days. I tried to get in contact and was ignored, the next day his agent got back to me to tell me within the last 3 days my belongings were removed because I missed the window to get them. ",3,3,1,1,1
1759,BLAKEMORE PROPERTY MANAGEMENT,SALT LAKE CITY,UTAH,84109,US,"Blakemore has so far been good for maintaining the property and have been good with communicating payment & , on the property I am renting they have been not timely but good with communicating when and where repairs are due to be completed. We had a sewage leak stemming from a recent flood in the area that took a week to complete (sewage on carpet) but Blakemore was communicating when the repairs were scheduled, what time the repair company were coming, and proper cleanup after the problem was addressed. No rental increases in the first six months of renting through this company.",4,5,5,5,5
1760,MAYFIELD MANAGEMENT,EDMONTON,ALBERTA,T5H 3B8,CA,"Wretched. Nice when I first moved in but went drastically downhill under new management. Constant building  wide pest problems, terrible maintenance (once went without a working shower for 4 months), frequent invasive inspections performed by rude, sexist and racist staff.",1,1,3,1,1
1761,YANG-SOOK LEE CHOI,PARIS,ONTARIO,N3L 3M3,CA,Slow to do repairs and when finished they're done shoddily. Previous tenants got very sick and I'm worried about both mold and the pipes. They also decided to move back to Korea and haven't made any formal announcements or arrangements with tenants.,2,1,2,3,2
1762,ROSS SCRIBNER,WORCESTER,MASSACHUSETTS,01610,US,"Rented from Ross for 2+ years. After I signed my lease, I never saw him again, which was for the best. In person, he constantly whines about how ""nice"" he is and how hard he works to make tenant's lives better, etc. He accused me of calling him a slumlord before I signed the lease. He never raised the rent while I lived there, and the apartment was recently renovated and in OK condition. It was obvious that there wasn't much spent on high-end renovations, and he went cheap, but it was functioning. His handyman plowed whenever it snowed, and the two times I needed outside help (pest control and appliance replacement), people arrived within a week-ish. The house was infested with mice and the pest control didn't work, but he sent someone at least. He never maintained the smoke detectors, and it was written into the lease that it was our responsibility. Got back my security deposit minus a minor cleaning fee, which was fine. Overall, he was an OK landlord. Not great, but not awful, largely because he wasn't around.",3,4,5,3,4
1763,MUHAMMAD USMAN AZIZ,NEWMARKET,ONTARIO,L3X 2L1,CA,"On first inspection of the unit, prior to signing rental agreement, we noted the steps outside were in a state of disrepair and there was no railing on the interior stairs (8+ stairs), he said this would be fixed. 2.5 years later we moved out and they were still not fixed. The outside door's sealing was broken and even after multiple emails nothing was done about it, leaving cold air coming into the apartment on windy days. Toilet wouldn't always flush fully the first time, we noted this a month into our stay, plumber came by said it needs to be replaced, it did not get replaced. He was good about the mouse problem, gave us traps to deal with it. He was good about privacy until we gave our 2 month's notice. We moved out mostly by the beginning of the 2nd month (we still had some personal items in the apartment), and as soon as we weren't there constantly there, he stopped notifying us of entry to our suite, let cleaners in without notice and we would not have known if we had not stopped by to pick up more items. In lease charged a parking fee in the other fees section instead of the marked location as a tax cut. Fought over snow removal, stated it was tenant's duty and disagreed with us over it, we eventually went to the landlord and tenant board before he capitulated and got snow removal services for our only entrance to the building. Wanted to be a friend and have friendly language used when emailed or texted but generally was frustrating to talk to and get to understand the issues. Asked inappropriate questions of us (whether we were planning on having kids) and of our references (whether we were dating).",2,2,2,1,1
1764,BEACON PROPERTIES,AMHERST,MASSACHUSETTS,01002,US,"This management company sucks. The apartments are fine and have good things about them but largely it is not well managed. They raise the rent to a barely legal amount and are major bootlickers. They love cops and will try to get you to call the cops for anything. Also they don't assign parking and just give you a sticker to prove you live there, they send out tow companies to check your sticker randomly at night like some weird power trip. Also they suck as communicating they are rude as shit and send you misspelled emails always but expect immediate and perfect communication from you. ",2,4,1,4,1
1765,THE MACDANE GROUP OF COMPANIES,PORT HOPE,ONTARIO,L1A3Z8,CA,"This building is listed as a ""luxury"" building when it is the opposite. Units are falling apart, the building is quick fix this and that. A lot of tenants have waited years for emergent repairs within units to be ignored and given excuses. Bed bug and ant problems have been out of control for years because its always a quick fix. Several tenants have been without basic needs for several years because the necessary repairs have not been done. There is never room in the dumpsters for garbage because people come off the street to dump their garbage for free and nothing is ever done about it. Elevators are constantly broken and out of service weekly. Elevators always have dog urine in them and is never cleaned. The ""secure"" door in the lobby is always open for anyone to come in, or broken. One of the tenants that did repairs in the building gossips to the rest of the building what the inside of their apartment is like which is not only disrespectful but a violation of privacy. Overall the health and safety standards of this building are absolutely subpar. If the health unit ever came into this building and did a full inspection I have no doubt this building would be condemned because the management and the landlord refuse to properly take care of the building or do necessary repairs. They just want to make money and put as little into the building as possible. Renting from this building means a run down overpriced apartment with kitchen counters that are painted over, appliances from the 1980's/90's that constantly break, have neighbors who are convicted felons and constantly steal from everyone in the building regardless of the security cameras because nothing is ever done, and having to pay for all your repairs and renovations out of pocket because the landlord will never come do them. I would stay far far away from anything this company owns.",1,1,1,1,1
1766,JAKE LERMAN,CHICAGO,ILLINOIS,60657,US,"Broke our lease by letting the only bathroom in the apartment remain gutted and unusable for a little over a month. Went off the grid and refused to answer phone calls, emails, and repair requests at this time. After the bathroom was repaired, he remained out of reach and refused to fix even the most basic issues. The bathroom had to be gutted in the first place because of a neglected leak that was dripping into the kitchen of a restaurant on the first floor. Massive health hazards due to his neglect and mismanagement, plus very little customer service or apparent remorse for his incompetence.",1,1,3,5,1
1767,HEE JOON BAEK,MONTREAL,QUEBEC,H2T 2T2,CA,Terrible landlord,1,1,1,1,1
